text,label,lang,scam_type,source
Dear User your S.B.I <NAMED_ENTITY> will be suspended. <DATE_TIME> please Update your PAN Card visit the <URL>,1,mixed,imc25,imc25_smishing
CaixaBank:Lamentamos informarleque <NAMED_ENTITY> desactivada.por su seguridad le rogamos que complete la siguiente verificación: <URL>,1,mixed,imc25,imc25_smishing
"How was your day?
Hey, <NAMED_ENTITY>! Do you remember me?
I'm <NAMED_ENTITY>",1,mixed,imc25,imc25_smishing
"Your Membership is on hold. To using your account as normally, you need to update some trouble with your current billing information.

Click link bellow to update your account :
<URL>:<EMAIL_ADDRESS><URL>

Regards,
Netflix Pte. Ltd.",1,mixed,imc25,imc25_smishing
Please follow: <URL>,1,mixed,imc25,imc25_smishing
R u here yet? I'm wearing blue shirt n black pants.,0,en,sms_spam,uci_sms_spam
I'm already back home so no probably not,0,en,sms_spam,uci_sms_spam
"Hello my dear costmer I'm calling from kbc konbanega crorepati lucky prize department from <LOCATION> head office my dear costmer <NAMED_ENTITY> main 57666 par message kiya tha us message <NAMED_ENTITY> apka airtel company ka number lottery <NAMED_ENTITY> hai 25,00,000 rupees ka apko bohot bohot badhai ho prize cash <NAMED_ENTITY> officer <NAMED_ENTITY> number par just call <NAMED_ENTITY> apko <NAMED_ENTITY> lottery cash karne ka poora <NAMED_ENTITY> btaein gy ap <NAMED_ENTITY> call <NAMED_ENTITY> vijay <NAMED_ENTITY> call number <PHONE_NUMBER> ok thanks for kbc department",1,mixed,imc25,imc25_smishing
Well boy am I glad G wasted all night at applebees for nothing,0,en,sms_spam,uci_sms_spam
"""BBVA-ES"": Usuario deshabilitado por razones de seguridad. <URL> <NAMED_ENTITY> y",1,mixed,imc25,imc25_smishing
"UPS Abholung <DATE_TIME> bis 7:00 PM HALT simsen, um SMS einzust/Zur Einst HALT/Fur HALT Kkt an.",1,mixed,imc25,imc25_smishing
"Final Notification
Your Apple ID is due to expire <DATE_TIME>. Prevent this by confirming your Apple ID at : <URL>",1,mixed,imc25,imc25_smishing
Dear customer your IndusInd Bank credit card account has been suspended please update your KYC details visit the link.,1,mixed,imc25,imc25_smishing
Hi. Just to let you know you recently called a premium number that's not included in your tariff. To check your charges and stay on top of your bill head to My <US_DRIVER_LICENSE>:,1,mixed,imc25,imc25_smishing
This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,0,en,sms_spam,uci_sms_spam
This message is from an unsaved number. Beware of smishing and phishing.,1,mixed,imc25,imc25_smishing
Dear Customer Your Electricity power will be disconnected. <DATE_TIME> at <DATE_TIME>. because your <DATE_TIME> bill not update. Please contact our officer <PHONE_NUMBER>,1,mixed,imc25,imc25_smishing
ESTIMADO CLIENTE su cuenta ha sido bloqueada por seguridad para poder activarla seguir los siguientes pasos: <NAMED_ENTITY>,1,mixed,imc25,imc25_smishing
Dear customer your JIO number has been suspended for <DATE_TIME> please submit your KYC in your account kindly please call customer care: <US_BANK_NUMBER> immediately,1,mixed,imc25,imc25_smishing
Apka JazzCash account hack hone ka khatra hai. Apna password change krne k lie abhi is number par sms karin.,1,roman_urdu,Phishing - Account Hack Warning,zenodo_21810885
Dear paytm customer your KYC has been suspended. Paytm office ph <PHONE_NUMBER> call immediately. Your account will blocked within <DATE_TIME>. Thank you paytm team,1,mixed,imc25,imc25_smishing
"Due to a violation of our terms and conditions, your online has been limited. To reactivate please visit: https:// <URL>",1,mixed,imc25,imc25_smishing
"Dear Customer, as per your request, e-mail ID for your account has been modified",1,mixed,imc25,imc25_smishing
Order no: 337 View bill: <URL> Review on: <URL> - McDonald's,1,mixed,imc25,imc25_smishing
"Dizzamn, aight I'll ask my suitemates when I get back",0,en,sms_spam,uci_sms_spam
Still in the area of the restaurant. Ill try to come back soon,0,en,sms_spam,uci_sms_spam
"Dear, Customer Your State Bank of india Account Will be Suspended! Please Re KYC Verification Click here <NAMED_ENTITY> http://<IP_ADDRESS>/sbi Thank you",1,mixed,imc25,imc25_smishing
I accidentally brought em home in the box,0,en,sms_spam,uci_sms_spam
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1,en,sms_spam,uci_sms_spam
Nope watching tv at home... Not going out. V bored...,0,en,sms_spam,uci_sms_spam
Toca para recuperar el acceso a tu cuenta de Instagram:,1,mixed,imc25,imc25_smishing
DEAR HDFC USER Your A/C will be blocked <DATE_TIME>. Update your PANCARD for KYC. verify your account login with NetBanking click here,1,mixed,imc25,imc25_smishing
"Hello! Your request for SIM with reference number DEL-<US_DRIVER_LICENSE> is registered. Your request will be processed by 07 Sep 20 <DATE_TIME>. For further assistance, dial 199.",1,mixed,imc25,imc25_smishing
CONGRATULATIONS! You have been selected to receive a 250 euro Supervalu voucher! Click here to see if you qualify: Claim your voucher now!,1,mixed,imc25,imc25_smishing
"Debit
Amt:NGN220.50 <NAMED_ENTITY>/WEB PMT <URL>
Time:<DATE_TIME> @21:32:03
Avail Bal:NGN114,005.34
Total Bal:NGN114,005
Credit
Amt:NGN220.50 <NAMED_ENTITY>/WEB PURCHASE ROU
Time:<DATE_TIME> @21:32:07
Avail Bal:NGN114,225.84
Total Bal:NGN114,225.84
Debit
Amt:NGN20,295.00 Dr
Acc:002******035
Desc:POS/WEB PMT <URL>
Sender does not support replies",1,mixed,imc25,imc25_smishing
So why didnt you holla?,0,en,sms_spam,uci_sms_spam
"MSG_ID984196:IRS You federal return was ban-by the <URL>n't worry,we'll help you fix it. Click this link> // <URL>",1,mixed,imc25,imc25_smishing
Your invoice for <DATE_TIME> is received. Thank you! here's a tiny gift for you: <URL>,1,mixed,imc25,imc25_smishing
Your Parcel has been redirected to local Aramex office branch due to an unpaid delivery fee. visit here :,1,mixed,imc25,imc25_smishing
Please call him now anything that he says you let me know please,1,mixed,imc25,imc25_smishing
"Your parcel is waiting for delivery, Please confirm the settlement of 1.99 (EUR) on the following link:",1,mixed,imc25,imc25_smishing
Lamentamos informarle que su cuenta ha <NAMED_ENTITY>. Por su seguridad le rogamos que complete la siguiente verificación: <URL>,1,mixed,imc25,imc25_smishing
BBVA Estimado cliente: A partir del <DATE_TIME> no podra utilizar su cuenta. Hasta que actualice el nuevo sistema de seguridad : <URL>,1,mixed,imc25,imc25_smishing
The delivery of your new @ 'nrk' %<DATE_TIME> package is ready: @ <URL>,1,mixed,imc25,imc25_smishing
"<LOCATION> has noticed your <LOCATION> MasterCard ending 7245 was used online on <PHONE_NUMBER>:01:00, at Footway Group AB for £246.99. This payment was declined. If this was you please reply YES, otherwise reply NO. There is no need to call us. Responding to this text is the quickest way to update your account",1,mixed,imc25,imc25_smishing
Dear Customer upgrade to the new PayZapp and take control of all your payments. Download: <URL> Note: The old app will be delisted soon. To avoid interruptions upgrade <DATE_TIME>! T&C,1,mixed,imc25,imc25_smishing
9158 is your One Time Verification (OTP) code to confirm your phone no at Lenskart. <LOCATION>,1,mixed,imc25,imc25_smishing
Namaste your order <DATE_TIME> could not be delivered on the first attempt. Next delivery will be attempted soon.,1,mixed,imc25,imc25_smishing
Dear User Your SBI YON0 A-C will b...,1,mixed,imc25,imc25_smishing
LINKT: As of <DATE_TIME> you recently defaulted on your road toll bill of $5.93. To avoid being blacklisted please handle.,1,mixed,imc25,imc25_smishing
आपके द्वारा उचित मूल्य दुकान कोड क्र. <US_DRIVER_LICENSE> से माह <DATE_TIME> का NFSA अंतर्गत गेहूँ 8.0 चावल 12.0 नमक 1.0 शक्कर 0 किलो केरेसिन 1.0 लिटर निर्धारित दर पर तथा PMGKAY का गेहूँ 8.0 चावल 12.0 किलो नि:शुल्क प्राप्त किया। सामग्री प्राप्त न होने/कम प्राप्त होने पर सीएम हेल्पलाइन नंबर 181 पर शिकायत दर्ज कराएं। द्वारा खाद्य <LOCATION>,1,mixed,imc25,imc25_smishing
<NAMED_ENTITY> it's <NAMED_ENTITY>! Will you join me in <LOCATION> for my Women for <NAMED_ENTITY> town hall on <DATE_TIME>? RSVP <DATE_TIME>: <URL>,1,mixed,imc25,imc25_smishing
Un dispositivo no autorizado se ha conectado a su cuenta online. Como reconoce este acceso verifique inmediatamente.,1,mixed,imc25,imc25_smishing
Your SBI Card have Received 5899 Rewards Point Redeem them into Cash by Registering on our SBI Rewards App,1,mixed,imc25,imc25_smishing
You were supposed to wake ME up &gt;:(,0,en,sms_spam,uci_sms_spam
Thank you for flying with Singapore Airlines! Your name came 3rd on our <DATE_TIME> list (22/07/219). Collect your winnings:,1,mixed,imc25,imc25_smishing
"<DATE_TIME> Sir.

We are still discussing the matter with our bank and Lovelife, kindly note that there was no transaction made to our account as per your ""typed"" SMS claim from Nedbank.

There won't be any amount of Money sent to you coming from us as stated by our lawyers prior to full investigations.

If there is truly a transaction made to our Company account kindly reverse your amount and go do business somewhere else.

Thank You.",1,mixed,imc25,imc25_smishing
HSBC: New payee request to MR R <NAMED_ENTITY> through your HSBC mobile banking app. Don't recognise this? Please visit:,1,mixed,imc25,imc25_smishing
"Hello!
Thank you for choosing to access Sports Pack,
You have been charged Rs. 15
Your balance is Rs. 55.32",1,mixed,imc25,imc25_smishing
Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,0,en,sms_spam,uci_sms_spam
"I hav almost reached. Call, i m unable to connect u.",0,en,sms_spam,uci_sms_spam
<NAMED_ENTITY> zum Absender zurückgesendet. <NAMED_ENTITY>,1,mixed,imc25,imc25_smishing
"ALERT 100%: You have used 100% of your <DATE_TIME> highspeed data limit. Speed is now reduced to 64Kbps. Get 50<LOCATION> @251, valid till current pack: <URL>",1,mixed,imc25,imc25_smishing
<NAMED_ENTITY> تجنب أي انقطاع في الخدمة. <NAMED_ENTITY> ربطك الشخصي عبر هذا الرابط.,1,mixed,imc25,imc25_smishing
Dear HDFC user your HDFC NetBanking Account will be Blocked <DATE_TIME> Please click on the link and update your PAN CARD Number immediately.,1,mixed,imc25,imc25_smishing
تم استلام صورة لك,1,mixed,imc25,imc25_smishing
Dear customer Your KOTAK MAHINDRA BANK A/C be close within <DATE_TIME>'s please complete your KYC please click on link,1,mixed,imc25,imc25_smishing
Your Wife will Love Your Boner,1,mixed,imc25,imc25_smishing
"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",1,en,sms_spam,uci_sms_spam
SBI Y0N0 USER Your A/C will be blocked. By <DATE_TIME> Please update your PANCARD Number click here link <URL> Dear Customer your S.B.I <NAMED_ENTITY> will be suspended. <DATE_TIME> please Update your PAN Card visit the link <URL>,1,mixed,imc25,imc25_smishing
Easypaisa: Aap ne successfully 10000 PKR transfer kar diye han. Trx ID: 18726919.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
Dear Smart Flyer! Go Air regrets to inform you that your the flight on <DATE_TIME> has been cancelled. This change is due to issues beyond our control. You may call <PHONE_NUMBER> /<PHONE_NUMBER> or visit <NAMED_ENTITY> to modify your reservation on available alternate flight.,1,mixed,imc25,imc25_smishing
AppBancolombia Informa que el <DATE_TIME> a las 10:00 se ha <NAMED_ENTITY> DINAMICA activela de inmediato aqui <URL>,1,mixed,imc25,imc25_smishing
Please can i get an explanation on how you guys always remove 200 in every of my credit alert,1,mixed,imc25,imc25_smishing
The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,0,en,sms_spam,uci_sms_spam
Meeting u is my work. . . Tel me when shall i do my work tomorrow,0,en,sms_spam,uci_sms_spam
Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,0,en,sms_spam,uci_sms_spam
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,1,en,sms_spam,uci_sms_spam
Dear SBI user your SBI YONO Account has been blocked please prevent your PAN CARD click here to login your PAN number: <URL>,1,mixed,imc25,imc25_smishing
Dear Account Holder As per your request for HDFC Bank Imperia Premium Banking programme please click here to share your consent - TnC,1,mixed,imc25,imc25_smishing
"Moaziz sarif, apka BISP ki taraf se 75,000 PKR ka inaam nikla ha. Taseeq k liye 0349459414 par sms karin.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
ll tuo ordine é trattenuto presso il nostro centro di distribuzione. <NAMED_ENTITY> istruzioni qui:,1,mixed,imc25,imc25_smishing
I like you peoples very much:) but am very shy pa.,0,en,sms_spam,uci_sms_spam
Your <NAMED_ENTITY> for Debit Card ending <DATE_TIME> is [hidden]. Use this at HDFC Bank ATM to create ATM PIN before 15Feb21. Never share OTP with anyone. Bank never asks for <NAMED_ENTITY>.,1,mixed,imc25,imc25_smishing
Thanks for signing up for text alerts. Please click on the link for more information. Terms of Use & Privacy Policy: <URL> Message and data rates may apply. Message frequency varies. Text HELP for help. Text STOP to cancel.,1,mixed,imc25,imc25_smishing
"You have been selected for the job! Earn <US_DRIVER_LICENSE>,000 <DATE_TIME>. Click the link: <URL>",1,mixed,imc25,imc25_smishing
Zoom in with The Flash complete <DATE_TIME> on iflix!Get iflix VIP ACCESS + FREE INTERNET (5GB streaming on iflix)for RM5/mth with Digi!Click <URL>,1,mixed,imc25,imc25_smishing
<NAMED_ENTITY> non riconosciuto. <NAMED_ENTITY>. <URL>,1,mixed,imc25,imc25_smishing
We have detected unusual login attempts on your account. You can avoid restriction by visiting here:,1,mixed,imc25,imc25_smishing
"[PostNL] Onlangs heeft uw pakket ons PostNL sorteercentrum <LOCATION>. Om uw pakket in ontvangst te kunnen nemen is <NAMED_ENTITY> voldoen. De verzendkosten bedraagt €6,75 incl BTW. Betalen kan gemakkelijk via:",1,mixed,imc25,imc25_smishing
"Dear Customer , As per your request , your case <DATE_TIME> has been re-scheduled for <PHONE_NUMBER>:00:00 PM . For details contact <PHONE_NUMBER>. <NAMED_ENTITY>.",1,mixed,imc25,imc25_smishing
(__coinbase__) <URL> You just got [21 b.t.c],1,mixed,imc25,imc25_smishing
Microsoft account single-use code: <US_DRIVER_LICENSE>,1,mixed,imc25,imc25_smishing
Notification. Dear Consumer Your Electricity power will be <URL><DATE_TIME> at 9:30pm from Electricity <URL>cause your <DATE_TIME> bill was not updated please imme-diately contact with our electricity officer <PHONE_NUMBER> thank you.,1,mixed,imc25,imc25_smishing
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",0,en,sms_spam,uci_sms_spam
"Hello Please Contact  , <EMAIL_ADDRESS>, for clarity of our late client unclaimed funds, that is registered under your Name as next of kin...",1,mixed,imc25,imc25_smishing
Apka HBL ka account system error ki waja se block ho gaya hai. Abhi call karein 0368868861 par warna account hamesha k liye band ho jaye ga.,1,roman_urdu,Phishing - Account Block Threat,zenodo_21810885
"Rabobank: <LOCATION> klant,
Uw <LOCATION> betaalpas <NAMED_ENTITY>
<NAMED_ENTITY> aan via:",1,mixed,imc25,imc25_smishing
You must enter your details to update your package with DPC.,1,mixed,imc25,imc25_smishing
"""BBVA-ES"": Usuario deshabilitado por razones de seguridad. <URL> <NAMED_ENTITY> A",1,mixed,imc25,imc25_smishing
Dear Customer Your AEPS Cash Withdrawal transaction for account number <US_DRIVER_LICENSE> with SBI is declined.,1,mixed,imc25,imc25_smishing
"Dear ********, your income tax refund of Rs. 12,514 has been approved and your bank a/c will be credited shortly. Do kindly verify your a/c no 5XXXXX6755. If the same is incorrect, quickly follow the link below to update your bank record on file.",1,mixed,imc25,imc25_smishing
"BBVA informa: Por tu seguridad, <LOCATION> a solicitarte <LOCATION>. Tienes una firma pendiente. <NAMED_ENTITY> a tu cuenta online en nuestra web: <URL>",1,mixed,imc25,imc25_smishing
Se ha realizado un cargo de 1000 EUR en su cuenta. Si no reconoce esta actividad verifique inmediatamente: <URL>,1,mixed,imc25,imc25_smishing
Mum my screeens gone after I dropped my phone could you messsage my new numb <US_BANK_NUMBER>,1,mixed,imc25,imc25_smishing
Dear customer Your SBI Bank Account has been put on HOLD Plz Update your Document visit SBI website <URL> update by Net Banking,1,mixed,imc25,imc25_smishing
Un dispositivo no autorizado se ha conectado a su cuenta online. Si no reconoce este acceso:<URL>,1,mixed,imc25,imc25_smishing
Asking do u knw them or nt? May be ur frnds or classmates?,0,en,sms_spam,uci_sms_spam
It's justbeen overa week since we broke up and already our brains are going to mush!,0,en,sms_spam,uci_sms_spam
Dear <NAMED_ENTITY>. UIF: Mr/<NAMED_ENTITY> CANAL Your payment Case No:<US_BANK_NUMBER> has been processed and funds will be paid into your bank account in <DATE_TIME>.. Enquiries contact local Labour Centre . Case No : <US_BANK_NUMBER>,1,mixed,imc25,imc25_smishing
"Dear Consumer, apka is mahine ka WASA ka bill 5000 PKR hai. Due date guzarne se pehle ada karein.",0,roman_urdu,Utility Bill Payment Reminder,zenodo_21810885
Su paquete esta retenido en nuestra terminal,1,mixed,imc25,imc25_smishing
Studying. But i.ll be free next weekend.,0,en,sms_spam,uci_sms_spam
"<NAMED_ENTITY> <LOCATION>. Emparejar de nuevo a través de: <URL>
Los agentes de <US_DRIVER_LICENSE> nunca solicitarán información personal.",1,mixed,imc25,imc25_smishing
Hello 9703XXX999 Open Trading A/C and get benefits worth Rs. 85/255/- Click here to open A/C,1,mixed,imc25,imc25_smishing
Jay's getting really impatient and belligerent,0,en,sms_spam,uci_sms_spam
"EVITE BLOQUEIO DO SEU CAIXATEM, REGULARIZE SEUS DADOS NAS AGENCIAS OU <URL>",1,mixed,imc25,imc25_smishing
Uw Rabobank bankpas vervalt op <DATE_TIME>. Vraag uw nieuwe bankpas geheel gratis aan en voorkom blokkering van uw bankrekening via de website: <URL> ABO,1,mixed,imc25,imc25_smishing
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,0,en,sms_spam,uci_sms_spam
Dear Avail your Personal Loan offer of Rs. <US_DRIVER_LICENSE> with low EMIs of Rs. <DATE_TIME> Click <URL> Valid-3Feb20 T&C Finserv MARKETS,1,mixed,imc25,imc25_smishing
Gentile cliente stiamo provvedendo a sospendere le sue utenze <NAMED_ENTITY> per mancato aggiornamento Per evitare Accedi:<URL>,1,mixed,imc25,imc25_smishing
Banco Santander Informa: Le rogamos que confirme rapidamente su informacion para evitar una restricción de su cuenta. <NAMED_ENTITY> <URL>,1,mixed,imc25,imc25_smishing
We are delighted to welcome you to Axis Bank! Your account number is <US_BANK_NUMBER> and your personalised welcome kit will reach you shortly. Thank you for choosing us as yo...,1,mixed,imc25,imc25_smishing
Pay: You have a bill that will be overdue and incur a penalty. Please check and complete the payment: bbt.ty/3TRQdLw  We were unable to process your order. Please call 98X XX32 to update your information for delivery to proceed.,1,mixed,imc25,imc25_smishing
SERVICIO CORREOS: Su paquete está listo para la entrega confirme el pago de aduana de (164€)en el siguiente enlace:<URL> AGENCIA TRIBUTARIA: Os ha calificado para un Reembolso de impuestos de (263 € ). Encontrar mas informacion en pagina web : <LOCATION>,1,mixed,imc25,imc25_smishing
"Play the Think Flop game http://Ov8ZhXNggm87J1_Yg7_-9w and double your recharge amount right now!!
Think Flop <URL> وضاعف قيمة <NAMED_ENTITY>!",1,mixed,imc25,imc25_smishing
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,0,en,sms_spam,uci_sms_spam
Call immediately! <NAMED_ENTITY> will be Blocked within <DATE_TIME>. Bsnl Team,1,mixed,imc25,imc25_smishing
Standard Bank Account will be Lock today if not secured on 2023 SSL Server click <URL> to update Standard Bank Team,1,mixed,imc25,imc25_smishing
Commonwealth-Bank: A payment of 259.79AUD to <NAMED_ENTITY> has been held awaiting review. Please Contact us on <PHONE_NUMBER>,1,mixed,imc25,imc25_smishing
Your LPG cylinder was delivered on <DATE_TIME>. For any queries contact your distributor.,1,mixed,imc25,imc25_smishing
I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,0,en,sms_spam,uci_sms_spam
<NAMED_ENTITY> de Amazon. Mas informacion en,1,mixed,imc25,imc25_smishing
"Hello
How are you doing <DATE_TIME>
Am the agent incharge of your winning package
Let me know if you are ready to claim your win",1,mixed,imc25,imc25_smishing
Pago procesado por un importe de 695.99 EUR. Si no ha sido usted siga los pasos en el enlace para cancelarlo: <URL>,1,mixed,imc25,imc25_smishing
There was an error processing your credit card: a duplicate transaction of AUD 441.58 has been submitted. Unauthorised? Click here,1,mixed,imc25,imc25_smishing
<NAMED_ENTITY> this side From AU SMALL FINANCE BANK. The problem was caused by a system error so kindly give me <DATE_TIME> to solve the problem.,1,mixed,imc25,imc25_smishing
"Out for Delivery:KREDO Men Black Dial &... with tracking ID MYNC0034095550, will be delivered <DATE_TIME> by an EKART Service Partner (call <PHONE_NUMBER>, PIN 171). Please pay Rs.9875.0 by cash..",1,mixed,imc25,imc25_smishing
E-Trade\yql5q.ob47:Your account has been locked due to unusual <URL>sit <URL> to unlo,1,mixed,imc25,imc25_smishing
<NAMED_ENTITY>; UN DISPOSITIVO NO AUTORIZADO se ha conectado a su cuenta. Si no reconoce este acceso verifique.,1,mixed,imc25,imc25_smishing
<URL>: Will you take a 2-question survey about the elections <DATE_TIME>? Your answers will inform the way we talk to other voters. Reply Y.,1,mixed,imc25,imc25_smishing
"Dear Customer, your service request no. <US_BANK_NUMBER> has been closed. For details, please refer to: <URL> .Rgds,HDFC Bank",1,mixed,imc25,imc25_smishing
Your voucher of Rs. 1500 is here for spends on CreditCard in Dec'19 Use Code: Redeem it: <URL> till <DATE_TIME> Queries?Call: <PHONE_NUMBER>,1,mixed,imc25,imc25_smishing
"A payment of $200.00 has been made to Chase_Morgan credit. If you didn't authorize this, visit Https://<EMAIL_ADDRESS><URL> to cancel payment.",1,mixed,imc25,imc25_smishing
"Your:Mobile No 040*****has won £6,500,000 GBP in the BET365 Jackpot,To redeem goto <URL> ,click CLAIM enter Ref#: CC74117Q .Helpline: <EMAIL_ADDRESS>",1,mixed,imc25,imc25_smishing
Instagram link: <URL> Don't share it.,1,mixed,imc25,imc25_smishing
Dear Consumer Your Electricity Power will be Disconnect <DATE_TIME> at <DATE_TIME> From Electricity office. Because your <DATE_TIME> <NAMED_ENTITY> was not Update. Please immediately contact with our Electricity officer <PHONE_NUMBER> Thank you.,1,mixed,imc25,imc25_smishing
FNB:-) Your FNB Account is not updated & can be Blocked <DATE_TIME> on the SERVER .CLICK > <URL> to avoid Being Blocked & Verify with your BUSINESS CARD,1,mixed,imc25,imc25_smishing
But am going to college pa. What to do. are else ill come there it self. Pa.,0,en,sms_spam,uci_sms_spam
"Your profile has received too many reports, please contact our online support at: <URL> otherwise your profile will be removed.",1,mixed,imc25,imc25_smishing
Dear Jerin please click <URL> to convert your Credit Card outstanding to EMI - IndusInd Bank,1,mixed,imc25,imc25_smishing
Still chance there. If you search hard you will get it..let have a try :),0,en,sms_spam,uci_sms_spam
"HELLO AMAZON BUYER
GET CASHBACK OF RS.149 FOR GIVING 5 STAR SELLER RATING TO ALL YOUR <URL> ORDERS FROM BELOW LINK <URL> CASHBACK WILL GET CREDITED IN <DATE_TIME> AFTER FEEDBACK DONE AND ITS NOT BRIBE ONLY PROMOTIONAL OFFER. ONLY 5 STAR RATERS WILL GET CASHBACK. REGARDS.",1,mixed,imc25,imc25_smishing
"Dear User
Account Will",1,mixed,imc25,imc25_smishing
Thats cool. I want to please you...,0,en,sms_spam,uci_sms_spam
NETFLIX : Votre dernier paiement a été refusé veuillez confirmer vos informations de paiement ou votre compte sera suspendu: <URL> NETFLIX : Votre adhesion va etre suspendu du au rejet du prelevement de votre mensualite pour regulariser la situation : <URL>,1,mixed,imc25,imc25_smishing
Do u noe wat time e place dat sells 4d closes?,0,en,sms_spam,uci_sms_spam
